SplittableRandom.nextInt()

------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 950589c62387644f | 0111111111111111111111111111111111111111111110111111111110111111 61 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.00000000...0.00000000 | 1*FAILED
 a84475319d5cd239 | 1110111111111111111111111111111111011111111111111111111111111111 62 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.00000000...0.00000000 | 1*FAILED
 1cf2debc4061847c | 1111111111111111111111111111111111111111111101111111111111111111 63 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.00000000...0.00000000 | 1*FAILED
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 bc7263e2cdb9c88d | 0000000000000000000100000000000000000000000000000000000000000000  1 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.00000000...0.00000000 | 1*FAILED
 9f25bc2a084292e5 | 0000000000100000000000000000000000000000000000000000000000100000  2 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.00000000...0.00000000 | 1*FAILED
 a56766bab070cd54 | 0000000000000000000000000000000000000000000100100010000000000000  3 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.00000000...0.00000000 | 1*FAILED
 dd3e045778eeca3a | 0000000000000000000100000010000000000000000000010000000001000000  4 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.00000000...0.00000000 | 1*FAILED
 b41fbe0ac060691b | 0000001001000100010000000000000000001000000000000000000000000000  5 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.00000000...0.00000000 | 1*FAILED
 6d5419b99140210a | 1000000001000000000000001000000000000010000000000000000000001010  6 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.00000000...0.00000000 | 1*FAILED
 234c0b3eb2fe598c | 0000100000010000001100000100000001010000000000000000000000000000  7 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.00000000...0.00000000 | 1*FAILED
 6582639a8c43dcbc | 0110000000010010000000001000000100001000000000000000000100000000  8 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.00000000...0.00000000 | 1*FAILED
 7eb33c5a8344d2f3 | 0000101000000000000001000000010010000100000010000000010010000000  9 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.00000000...0.00000000 | 1*FAILED
 8cd95d795de83d1c | 0101000000001000010000000000000000001001000000000100100001000100 10 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.67532388...0.67532388 | 1*PASSED
 4dc4a545e43458c8 | 0110100000000000000000000011000000000100000000011000010101000000 11 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.99253273...0.99253273 | 1*PASSED
 e1df88318c6c6bec | 0100001000010000000000000010000010000000110000000001100000011100 12 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.48086801...0.48086801 | 1*PASSED
   9a0ec46c3d67bd | 1000100000000000010100100101000001000010000000001001000100100000 13 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.31812549...0.31812549 | 1*PASSED
 3a103032c05a5a11 | 1110000010000010000000000001000100000000111000001000110010000000 14 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.13007601...0.13007601 | 1*PASSED
 648245704cf73f1f | 0101000100100110000000000000000001000010010000010001100011010000 15 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.22211543...0.22211543 | 1*PASSED
 a8fef82de2906918 | 0000100000000000100001100010001000010011001000000010000111001010 16 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.32470511...0.32470511 | 1*PASSED
 8ea06bf4101a3880 | 0110000001001001001100000000010011000000001100101000000001000101 17 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.50148330...0.50148330 | 1*PASSED
 405bf3f1d5bcd391 | 0001001100110000010010100100010000100000000010010010100100011000 18 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.77868568...0.77868568 | 1*PASSED
 7bc8a1358dfb4f96 | 0110000000001010010000000011000000110001001000011101010010011000 19 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.22248009...0.22248009 | 1*PASSED
 3ac5c425be3e330e | 1001100001101001000000010000000001010001000010011110010000001110 20 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.54579433...0.54579433 | 1*PASSED
 82b47aa811b6f7cd | 0101001000000100100000000111000011000110011000101110000101100000 21 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.40602943...0.40602943 | 1*PASSED
 35a71d4692d5c4fa | 0100000000011111000000001010101001100001000010000010110001001111 22 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.07143229...0.07143229 | 1*PASSED
 c380d348c69a1151 | 1001110000101000010000011110010011000001110000110000110001000001 23 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.87697833...0.87697833 | 1*PASSED
 fecf6d5a085d85f8 | 1101001100111011001010001000101000100110110000101000000001001000 24 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.99910352...0.99910352 | 1*WEAK
 80f9479505448e29 | 1010010111100100010101000000110100000000010110000101100110100101 25 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.92505048...0.92505048 | 1*PASSED
