SplittableRandom.nextIntAlt1()

------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 536062b770ba04d6 | 1111001111111011111110010011101110011100111011111011011111011011 47 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.86272092...0.86272092 | 1*PASSED
 5bafc8841245f128 | 1101100101110101111001011110011110111110101111111111010111111111 48 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.72919231...0.72919231 | 1*PASSED
 fb22c219b9a4b64d | 1111110110000111011100111111101111011111011101111010101111111111 49 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.95908652...0.95908652 | 1*PASSED
 3cf6971b5971eca9 | 1110111111011101111111101001111111111011010111111110111101110010 50 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.16473178...0.16473178 | 1*PASSED
 5c5098ca9f5e1d22 | 1010111110011101111111110001111111011111111111111110101110110111 51 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.90984768...0.90984768 | 1*PASSED
  9a5cbac0659e773 | 1011111110111011011110110111111001111011111111111111011111101110 52 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.66433029...0.66433029 | 1*PASSED
 1b0e31f2d9748c84 | 1101111010111111101010011111111011111110101111111011111111111111 53 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.24868176...0.24868176 | 1*PASSED
 f22a5daaeb19aa3d | 1011111110111111111111111101111001111111111101110111001110111111 54 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.81359080...0.81359080 | 1*PASSED
 4a08b400f1768908 | 1111111101111111111111111111110101111111110101111010111110111110 55 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.76519400...0.76519400 | 1*PASSED
 2d2903c3087eb250 | 1111111111111011111111111110110111111101101111101111101111111110 56 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.49979351...0.49979351 | 1*PASSED
